Variable,index0,index1,index2,I.val,P.val,index,Pgd.val,Ps.val,Q.val,Qgd.val,Qs.val,V.val
I,1.0,2.0,1.0,1.3588103498754023,,,,,,,,
I,1.0,2.0,2.0,1.3131785145330512,,,,,,,,
I,1.0,2.0,3.0,1.2962507541681707,,,,,,,,
I,1.0,2.0,4.0,1.2697672498686017,,,,,,,,
I,1.0,2.0,5.0,1.2159278255032273,,,,,,,,
I,1.0,2.0,6.0,1.69802865129372,,,,,,,,
I,1.0,2.0,7.0,2.138589495798056,,,,,,,,
I,1.0,2.0,8.0,1.3809865023666539,,,,,,,,
I,1.0,2.0,9.0,1.2266001791823964,,,,,,,,
I,1.0,2.0,10.0,1.0010177044675417,,,,,,,,
I,1.0,2.0,11.0,1.0705458451765295,,,,,,,,
I,1.0,2.0,12.0,1.4860662152769044,,,,,,,,
I,1.0,2.0,13.0,1.2719395508739988,,,,,,,,
I,1.0,2.0,14.0,1.1250371671401325,,,,,,,,
I,1.0,2.0,15.0,1.0723408786603381,,,,,,,,
I,1.0,2.0,16.0,1.2025839289439064,,,,,,,,
I,1.0,2.0,17.0,1.5107506963743564,,,,,,,,
I,1.0,2.0,18.0,1.4223949878294513,,,,,,,,
I,1.0,2.0,19.0,2.8435903859556726,,,,,,,,
I,1.0,2.0,20.0,3.6711553973754922,,,,,,,,
I,1.0,2.0,21.0,4.2358282078382175,,,,,,,,
I,1.0,2.0,22.0,3.6614390722267904,,,,,,,,
I,1.0,2.0,23.0,3.0193632460515634,,,,,,,,
I,1.0,2.0,24.0,1.9009329149347836,,,,,,,,
I,2.0,3.0,1.0,1.1931106460668242,,,,,,,,
I,2.0,3.0,2.0,1.149352989246479,,,,,,,,
I,2.0,3.0,3.0,1.1383883479820098,,,,,,,,
I,2.0,3.0,4.0,1.1116406884290144,,,,,,,,
I,2.0,3.0,5.0,1.0626472833067242,,,,,,,,
I,2.0,3.0,6.0,1.4891695375303111,,,,,,,,
I,2.0,3.0,7.0,1.8673665288917274,,,,,,,,
I,2.0,3.0,8.0,1.1560411609216383,,,,,,,,
I,2.0,3.0,9.0,1.040131551678128,,,,,,,,
I,2.0,3.0,10.0,0.9077832752923276,,,,,,,,
I,2.0,3.0,11.0,0.9870231319552916,,,,,,,,
I,2.0,3.0,12.0,1.2790020353017408,,,,,,,,
I,2.0,3.0,13.0,1.1071820587769872,,,,,,,,
I,2.0,3.0,14.0,0.9986215259033554,,,,,,,,
I,2.0,3.0,15.0,0.9458815867135717,,,,,,,,
I,2.0,3.0,16.0,1.0158033653568814,,,,,,,,
I,2.0,3.0,17.0,1.2816438459730752,,,,,,,,
I,2.0,3.0,18.0,1.1974211088979294,,,,,,,,
I,2.0,3.0,19.0,2.4927174982950557,,,,,,,,
I,2.0,3.0,20.0,3.2588235734361706,,,,,,,,
I,2.0,3.0,21.0,3.7733573550091326,,,,,,,,
I,2.0,3.0,22.0,3.267736441018077,,,,,,,,
I,2.0,3.0,23.0,2.6828678871144382,,,,,,,,
I,2.0,3.0,24.0,1.6652154508052275,,,,,,,,
I,2.0,19.0,1.0,0.1282700179377134,,,,,,,,
I,2.0,19.0,2.0,0.12036688574741498,,,,,,,,
I,2.0,19.0,3.0,0.11444484130536131,,,,,,,,
I,2.0,19.0,4.0,0.11937006409780945,,,,,,,,
I,2.0,19.0,5.0,0.1144341434678028,,,,,,,,
I,2.0,19.0,6.0,0.1708206981386342,,,,,,,,
I,2.0,19.0,7.0,0.24117404521280164,,,,,,,,
I,2.0,19.0,8.0,0.19050832531357062,,,,,,,,
I,2.0,19.0,9.0,0.18555462085556562,,,,,,,,
I,2.0,19.0,10.0,0.17560150924900347,,,,,,,,
I,2.0,19.0,11.0,0.1894299622328276,,,,,,,,
I,2.0,19.0,12.0,0.2083531792570786,,,,,,,,
I,2.0,19.0,13.0,0.19047438783060489,,,,,,,,
I,2.0,19.0,14.0,0.18549720384738103,,,,,,,,
I,2.0,19.0,15.0,0.17858049231764433,,,,,,,,
I,2.0,19.0,16.0,0.18257438739157408,,,,,,,,
I,2.0,19.0,17.0,0.19554605527852065,,,,,,,,
I,2.0,19.0,18.0,0.18065685130578102,,,,,,,,
I,2.0,19.0,19.0,0.2826573050211041,,,,,,,,
I,2.0,19.0,20.0,0.3324186881610315,,,,,,,,
I,2.0,19.0,21.0,0.3729716886741353,,,,,,,,
I,2.0,19.0,22.0,0.3139904835224563,,,,,,,,
I,2.0,19.0,23.0,0.26195806250779474,,,,,,,,
I,2.0,19.0,24.0,0.1727937192136458,,,,,,,,
I,3.0,4.0,1.0,0.8704044363491036,,,,,,,,
I,3.0,4.0,2.0,0.8473216302153631,,,,,,,,
I,3.0,4.0,3.0,0.8324924024962527,,,,,,,,
I,3.0,4.0,4.0,0.817841322893187,,,,,,,,
I,3.0,4.0,5.0,0.7832674798370922,,,,,,,,
I,3.0,4.0,6.0,1.0190102412207678,,,,,,,,
I,3.0,4.0,7.0,1.1966319986682434,,,,,,,,
I,3.0,4.0,8.0,0.773760356274251,,,,,,,,
I,3.0,4.0,9.0,0.8003553496364694,,,,,,,,
I,3.0,4.0,10.0,0.8895475052531423,,,,,,,,
I,3.0,4.0,11.0,0.9991069118815792,,,,,,,,
I,3.0,4.0,12.0,1.0727587822486413,,,,,,,,
I,3.0,4.0,13.0,0.9979050142459777,,,,,,,,
I,3.0,4.0,14.0,0.9458026166396507,,,,,,,,
I,3.0,4.0,15.0,0.8785543480120654,,,,,,,,
I,3.0,4.0,16.0,0.7861819232598307,,,,,,,,
I,3.0,4.0,17.0,0.8402453915127219,,,,,,,,
I,3.0,4.0,18.0,0.8047592512042804,,,,,,,,
I,3.0,4.0,19.0,1.769643377429307,,,,,,,,
I,3.0,4.0,20.0,2.342567551069576,,,,,,,,
I,3.0,4.0,21.0,2.692672797411197,,,,,,,,
I,3.0,4.0,22.0,2.332106955112836,,,,,,,,
I,3.0,4.0,23.0,1.914005301182045,,,,,,,,
I,3.0,4.0,24.0,1.2282673759946465,,,,,,,,
I,3.0,23.0,1.0,0.2926582034279742,,,,,,,,
I,3.0,23.0,2.0,0.2664541961875829,,,,,,,,
I,3.0,23.0,3.0,0.2706710052758717,,,,,,,,
I,3.0,23.0,4.0,0.26227278753716493,,,,,,,,
I,3.0,23.0,5.0,0.24756034112956882,,,,,,,,
I,3.0,23.0,6.0,0.44820810354544977,,,,,,,,
I,3.0,23.0,7.0,0.6915268168409962,,,,,,,,
I,3.0,23.0,8.0,0.45148471699172493,,,,,,,,
I,3.0,23.0,9.0,0.4550782671139418,,,,,,,,
I,3.0,23.0,10.0,0.38522821326947043,,,,,,,,
I,3.0,23.0,11.0,0.41014182712481745,,,,,,,,
I,3.0,23.0,12.0,0.5356977948415237,,,,,,,,
