param Vnom     := 1;
param Barra_SE := 1;

# Base de potencia de := 1MW
# Base de Tensión de := 12.66kV
#---------- Datos de las barras-------------------------------------------
param :  Ob :    PD        QD        QC    Ongd:=
          1      0          0         0     0
          2      0.100      0.060     0     1
          3      0.090      0.040     0     1
          4      0.120      0.080     0     1
          5      0.060      0.030     0     1
          6      0.060      0.020     0     1
          7      0.200      0.100     0     1
          8      0.200      0.100     0     1
          9      0.060      0.020     0     1
         10      0.060      0.020     0     1
         11      0.045      0.030     0     1
         12      0.060      0.035     0     1
         13      0.060      0.035     0     1
         14      0.120      0.080     0     1
         15      0.060      0.010     0     1
         16      0.060      0.020     0     1
         17      0.060      0.020     0     1
         18      0.090      0.040     0     1
         19      0.090      0.040     0     1
         20      0.090      0.040     0     1
         21      0.090      0.040     0     1
         22      0.090      0.040     0     1
         23      0.090      0.050     0     1
         24      0.420      0.200     0     1
         25      0.420      0.200     0     1
         26      0.060      0.025     0     1
         27      0.060      0.025     0     1
         28      0.060      0.020     0     1
         29      0.120      0.070     0     1
         30      0.200      0.600     0     1
         31      0.150      0.070     0     1
         32      0.210      0.100     0     1
         33      0.060      0.040     0     1
         ;
#-----------------------------------------------------------------------
# Datos de líneas
# Barra inicial			: Ni
# Barra final			: Nj
# Resistencia			: R
# Reactancia inductiva	: X
#		  Ni   Nj   No.     R(pu)   X(pu)

param :     Ol:     linea       R               X              Imax:=
          1      2    1      0.00057526       0.00029761       6.57833
          2      3    2      0.00307595       0.00156668       6.57833
          3      4    3      0.00228419       0.00116300       6.57833
          4      5    4      0.00237778       0.00121104       6.57833
          5      6    5      0.00510995       0.00441115       6.57833
          6      7    6      0.00116799       0.00386085       6.57833
          7      8    7      0.01067848       0.00770610       6.57833
          8      9    8      0.00642581       0.00461705       6.57833
          9     10    9      0.00651378       0.00461705       6.57833
         10     11   10      0.00122726       0.00040618       6.57833
         11     12   11      0.00233598       0.00080986       6.57833
         12     13   12      0.00915922       0.00720571       6.57833
         13     14   13      0.00337918       0.00444796       6.57833
         14     15   14      0.00368677       0.00328185       6.57833
         15     16   15      0.00465573       0.00339977       6.57833
         16     17   16      0.00804240       0.01073775       6.57833
         17     18   17      0.00456713       0.00358071       6.57833
          2     19   18      0.00102324       0.00097644       6.57833
         19     20   19      0.00938508       0.00845731       6.57833
         20     21   20      0.00255497       0.00298486       6.57833
         21     22   21      0.00442301       0.00584805       6.57833
          3     23   22      0.00281515       0.00192419       6.57833
         23     24   23      0.00560285       0.00442425       6.57833
         24     25   24      0.00560285       0.00441178       6.57833
          6     26   25      0.00126719       0.00064514       6.57833
         26     27   26      0.00177320       0.00091967       6.57833
         27     28   27      0.00660674       0.00582621       6.57833
         28     29   28      0.00501823       0.00437122       6.57833
         29     30   29      0.00316642       0.00161285       6.57833
         30     31   30      0.00608015       0.00600778       6.57833
         31     32   31      0.00193729       0.00225799       6.57833
         32     33   32      0.00212821       0.00330805       6.57833 
         ;
#25     29   33      0.00311963       0.00311963       6.57833
# 8     21   34      0.01247851       0.01247851       6.57833
#12     22   35      0.01247851       0.01247851       6.57833
# 9     15   36      0.01247851       0.01247851       6.57833
#18     33   37      0.00311963       0.00311963       6.57833
#----------------------------------------------------------------------------
for { (i,j) in Ol} {
	let Z2[i,j] := R[i,j]^2	+ X[i,j]^2;	# Z^2
}
#----------------------------------------------------------------------------
let Vmax := 1.05 * Vnom;		# Tensión maxima kV
let Vmin := 0.95 * Vnom;		# Tensión mínima kV
